a_o,per_odo,c_digo_programa,programa,metodologia,cantidad_matriculados,hombres,mujeres,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,comuna_16,corregimientos,otros_municipios,recibieron_apoyos_financieros,recibieron_apoyos_acad_micos
2018,2,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,226,76,150,19,6,11,13,14,11,20,10,19,1,0,0,19,0,0,0,23,60,3,65
2018,2,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,132,42,90,10,3,8,15,1,5,22,12,3,1,0,0,16,0,0,1,33,2,105,56
2018,2,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,279,80,199,23,19,25,20,11,28,25,13,28,2,0,1,28,0,1,2,44,9,36,122
2018,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,504,217,287,46,20,55,23,34,61,70,24,29,1,5,8,35,0,2,6,34,51,165,206
2018,2,106303,TECNOLOGÍA EN GESTIÓN TURÍSTICA,Virtual,98,32,66,10,5,4,1,0,4,15,7,4,0,0,1,5,0,0,0,10,32,2,27
2019,1,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,446,112,334,11,7,34,40,11,29,66,7,21,6,7,17,23,1,1,36,25,104,146,68
2019,1,101313,ARQUITECTURA,Presencial,503,281,222,9,9,29,24,26,18,57,18,40,12,8,15,26,2,4,25,22,159,157,57
2019,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,310,64,246,8,7,12,15,19,20,27,9,21,7,2,6,14,0,6,17,10,110,109,26
2019,1,17498,BIOTECNOLOGÍA,Presencial,155,47,108,6,1,5,11,10,5,25,5,9,0,2,3,4,0,0,8,5,56,55,47
2019,1,6644,CONSTRUCCIONES CIVILES,Presencial,631,418,213,26,15,30,34,26,35,71,25,27,10,4,13,42,0,10,21,40,202,148,162
2019,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,16,10,6,0,0,0,0,1,1,0,0,3,0,2,2,0,0,0,2,1,4,16,0
2019,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,11,4,7,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,3,0,3,9,0
2019,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,25,12,13,0,0,1,0,1,1,1,1,3,1,0,0,1,1,0,2,1,11,11,0
2019,1,54263,INGENIERIA AMBIENTAL,Presencial,583,191,392,19,17,31,23,37,26,69,15,40,11,2,7,30,1,5,15,32,203,234,265
2019,1,106264,INGENIERÍA COMERCIAL,Presencial,70,37,33,2,2,3,6,3,9,16,2,3,0,0,1,3,0,1,4,5,10,5,37
2019,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,534,172,362,36,21,32,36,23,48,86,8,33,5,6,16,29,1,4,26,57,67,89,12
2019,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,66,38,28,5,0,3,1,3,4,12,2,9,0,2,1,4,0,2,2,4,12,16,0
2019,1,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,515,283,232,42,21,39,34,29,34,71,36,31,5,2,9,25,1,4,20,36,76,83,90
2019,1,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,14,9,5,1,0,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,6,1,0
2019,1,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,245,86,159,19,6,12,12,18,14,21,10,17,0,0,1,19,0,0,2,30,64,5,10
